key	text	tooltip
unit_abilities_onscreen_name_wh2_dlc15_unit_passive_sorcery_weapon	Wizardly Weapons	true
unit_abilities_onscreen_name_wh2_dlc16_unit_abilities_fluid_injection	Fluid Injection!	true
unit_abilities_onscreen_name_wh_main_spell_light_light_of_battle	Light of Battle	true
unit_abilities_tooltip_text_wh_main_spell_death_doom_and_darkness_upgraded	Spirits of the departed assail the Wizard’s foes, sapping their resolve and causing dread among their numbers.	true
unit_abilities_tooltip_text_wh2_dlc15_unit_abilities_emberstorm	The Phoenix's spiralling dive whips the Winds of Magic into a swirling vortex of magical flame.	true
unit_abilities_tooltip_text_wh_dlc08_item_abilities_great_horn_of_dragon_ogre	When blown, the Great Horn calls up a thunderstorm which forces the bearer's enemies back with high winds and lightning strikes.	true
unit_abilities_tooltip_text_wh_dlc03_banner_passive_totem_of_rust	A jagged spike with the corroded remains of armoured warriors impaled; this totem spreads an aura of entropy.  	true
unit_abilities_onscreen_name_wh2_dlc17_army_abilities_shatterstone	Shatterstone	true
unit_abilities_tooltip_text_wh2_dlc11_army_abilities_wraith_storm	A bombardment of unearthly projectiles; a storm that's extremely hard to weather.	true
unit_abilities_onscreen_name_wh2_dlc13_weapon_abilities_ostland_runefang	The Ostland Runefang	true
unit_abilities_onscreen_name_wh2_dlc15_unit_abilities_rock_bottom	Rock Bottom	true
unit_abilities_onscreen_name_wh2_dlc17_lord_abilities_barbed_knuckle_boxing	Barbed-Knuckle Boxing	true
unit_abilities_tooltip_text_wh_dlc05_lord_abilities_lamentation_of_despair	The Despairs are among the most feared Spites within Athel Loren, their arrival always foretelling imminent death.	true
unit_abilities_onscreen_name_wh_dlc03_unit_passive_unbinding_manticore	Unbinding	true
unit_abilities_onscreen_name_wh_main_character_abilities_deadly_onslaught	Deadly Onslaught	true
unit_abilities_tooltip_text_wh2_dlc15_lord_abilities_lord_of_dragons	Imrik’s affinity with Dragons gifts him their sharpness; with his concentration heightened, even the most skilful foes struggle to land blows. 	true
unit_abilities_onscreen_name_wh_main_spell_metal_transmutation_of_lead_upgraded	Transmutation of Lead Upgraded	true
unit_abilities_onscreen_name_wh_dlc04_unit_passive_chilling_aura	The Chilling Aura	true
unit_abilities_tooltip_text_wh2_dlc10_lord_abilities_oath_of_vengeance	From the Dammaz Kron, the High King recounts an ancestral grudge towards the foe, driving the Dawi into a vengeful rage.	true
unit_abilities_onscreen_name_wh_dlc03_item_passive_shard_of_the_herdstone	Shard of the Herdstone	true
unit_abilities_onscreen_name_wh_dlc05_banner_passive_banner_of_the_hunter_king	Banner of the Hunter King	true
unit_abilities_tooltip_text_wh_pro03_unit_passive_unbinding_krell_upgraded	Summoned creatures exist in this world on borrowed time before disappearing back to the Winds from whence they came.	true
unit_abilities_tooltip_text_wh2_dlc11_unit_passive_unbinding_varghulf	Summoned creatures exist in this world on borrowed time, eventually disappearing back to the Winds from whence they came.	true
unit_abilities_onscreen_name_wh2_dlc15_unit_passive_grim_discipline	Grim Discipline	true
unit_abilities_tooltip_text_wh_main_spell_metal_plague_of_rust	The enemy target's armour begins to rust, disappearing in clouds of tiny flakes and weakening his defensive abilities.	true
unit_abilities_onscreen_name_wh2_dlc10_item_passive_the_shadow_crown	The Shadow Crown	true
unit_abilities_tooltip_text_wh2_dlc09_unit_passive_unstable_mark_ii_sand	The Dark Magic that holds these subjects together has failed. As the necromantic energy flows out of them, nothing is left but a pile of iron and bones in the sand.	true
unit_abilities_onscreen_name_wh2_dlc17_army_abilities_cacophonous_assault_upgraded	Cacophonous Assault Upgraded	true
unit_abilities_onscreen_name_wh_dlc03_spell_bound_the_amber_spear	The Amber Spear	true
unit_abilities_tooltip_text_wh_dlc08_item_abilities_ancient_frost_wyrm_scale	The impossibly-harsh climate in which the Frost-Wyrms live ensures their scales bolster armour's effectiveness whilst burning any foe who touches them with intense cold.	true
unit_abilities_tooltip_text_wh2_main_spell_dark_magic_word_of_pain	As the caster utters a forbidden name, their enemies are wracked with waves of agony.	true
unit_abilities_tooltip_text_wh2_dlc16_item_abilities_acorns_of_the_oak_of_ages	Concentrated within a single acorn of the Mighty Oak is the potential for an instant and devastating release of explosive magical power.	true
unit_abilities_onscreen_name_wh_dlc08_hero_passive_vicious_assault_iii	Vicious Assault III	true
unit_abilities_onscreen_name_wh2_dlc09_unit_passive_covenant_of_power	Covenant of Power	true
unit_abilities_tooltip_text_wh_main_unit_abilities_entrenchment	All the sons of Grungni can dig-in, enabling them to better resist physical attacks from the foe. Any missile attacks they can make are also improved.	true
unit_abilities_onscreen_name_wh2_pro08_character_abilities_gotrek_doom	Gotrek's Doom	true
unit_abilities_onscreen_name_wh2_dlc11_unit_passive_the_ravenous_dead	The Ravenous Dead	true
unit_abilities_onscreen_name_wh2_dlc11_hero_abilities_bomb_throw	Bomb-Throw	true
unit_abilities_onscreen_name_wh2_dlc10_item_passive_ring_of_grimnir	Ring of Grimnir	true
unit_abilities_onscreen_name_wh2_dlc13_weapon_abilities_wissenland_runefang	The Wissenland Runefang	true
unit_abilities_onscreen_name_wh2_dlc16_lord_abilities_loecs_blessing	Loec's Blessing	true
unit_abilities_tooltip_text_wh2_dlc15_army_abilities_wind_trap_1a	placeholder	true
unit_abilities_tooltip_text_wh2_dlc15_character_abilities_burp_of_grom_2	Copious amounts of food constantly bubbles and brews in Grom’s astringent stomach bile, causing horrendous and explosive belching that he can barely control.	true
unit_abilities_onscreen_name_wh2_main_lord_abilities_gaze_of_malice	Gaze of Malice	true
unit_abilities_onscreen_name_wh2_dlc16_lord_passive_conjoined_destiny	Conjoined Destiny	true
unit_abilities_tooltip_text_wh2_main_unit_abilities_fury_of_khaine	As the blood in the cauldron boils and bubbles, Khaine drives bloodlust to a fever pitch and stokes hearts with a violent fire.	true
unit_abilities_onscreen_name_wh2_dlc11_lord_abilities_dark_protection	Dark Protection	true
unit_abilities_onscreen_name_wh_dlc05_spell_life_shield_of_thorns	Shield of Thorns	true
unit_abilities_onscreen_name_wh2_main_character_abilities_verminous_valour	Verminous Valour	true
unit_abilities_onscreen_name_wh2_dlc15_unit_passive_thermal_thorax	Thermal Thorax	true
unit_abilities_tooltip_text_wh_pro01_item_passive_rune_helm_of_zhufbar	Long thought lost to time and conflict, Grombrindal's awesome helm inspires already-courageous Dwarfen hearts to even greater acts of bravery.	true
unit_abilities_onscreen_name_wh2_dlc13_weapon_abilities_nordland_runefang	The Nordland Runefang	true
unit_abilities_tooltip_text_wh_dlc04_spell_vampires_raise_dead_strigoi	The once-proud Strigoi now dwell in dank recesses, binding foul, crypt-dwelling scavengers to their inexorable will.	true
unit_abilities_tooltip_text_wh_main_character_abilities_red_fury	Vampires have long had a savage and unstoppable bloodlust. They will continue to slaughter until their enemies lie dead at their feet, or have been turned to Undeath.	true
unit_abilities_onscreen_name_wh2_dlc14_lord_abilities_the_blood_price	The Blood Price	true
unit_abilities_tooltip_text_wh2_dlc15_unit_abilities_arachneruption	"Y'see that glowin' spot there?"\\n"Ye."\\n"Poke it."\\nPHTWOOSH!!!	true
unit_abilities_tooltip_text_wh_main_hero_abilities_mad_cap_mushrooms	Night Goblin Shamans brew a pungent fungus potion that, when drunk, will send the Fanatics into a spinning, whirling cyclone of death! 	true
unit_abilities_onscreen_name_wh2_main_lore_passive_musk_of_fear	Musk of Fear	true
unit_abilities_onscreen_name_wh_dlc06_unit_abilities_maternal_instinct	Maternal Instinct	true
unit_abilities_onscreen_name_wh2_dlc15_lord_abilities_youre_next	You're Next!	true
unit_abilities_tooltip_text_wh_dlc03_spell_beasts_the_amber_spear_upgraded	Sounding a gnarled horn, the caster summons a glowing amber spear and hurls it at the foe with uncanny accuracy.	true
unit_abilities_onscreen_name_wh_dlc03_spell_wild_bray_scream_upgraded	Bray-Scream Upgraded	true
unit_abilities_tooltip_text_wh_dlc05_spell_life_shield_of_thorns_branchwraith	Prickly gorse bursts from the ground around the caster's allies, protecting them from attack like a spiky, living shield.	true
unit_abilities_tooltip_text_wh2_dlc10_spell_bound_soul_stealer	Tendrils of solidified darkness writhe outwards, draining the lifeforce from foes and renewing the caster’s own vigour.	true
unit_abilities_tooltip_text_wh2_dlc15_unit_passive_rubble_and_ruin_tier_2_bombardment	Being a towering, walking cluster of rocks means that big bits sometimes fall off you, much to the detriment of anything smaller nearby!	true
unit_abilities_onscreen_name_wh2_dlc12_item_passive_plaque_of_sotek	Plaque of Sotek	true
unit_abilities_onscreen_name_wh_main_rune_passive_master_rune_of_groth_one_eye	Master Rune of Groth One-Eye	true
unit_abilities_tooltip_text_wh_dlc08_lord_passive_rage	These warriors have something of an anger management problem. Funnily enough, no one has yet found a safe way to broach the issue.	true
unit_abilities_tooltip_text_wh2_dlc11_army_abilities_shanty_verse_2_ai	"Now that we have the ocean so slow, put the sails away and prepare to row; for the monster hunts and its prey should shiver, ever since the Vortex went a-quiver!"	true
unit_abilities_onscreen_name_wh_dlc01_weapon_abilities_the_slayer_of_kings	The Slayer of Kings	true
unit_abilities_onscreen_name_wh2_dlc10_quest_passive_the_primal_rampage_hidden	Invincible Rampage	true
unit_abilities_onscreen_name_wh2_dlc12_unit_passive_thunderous_one	Judgement of the Uxmac	true
unit_abilities_tooltip_text_wh_dlc05_spell_life_awakening_the_wood_branchwraith	Trees live for thousands of years and have very long memories. When called to fight, centuries of pent-up wrath are unleashed.	true
unit_abilities_onscreen_name_wh2_main_item_abilities_starwood_staff	Starwood Staff	true
unit_abilities_onscreen_name_wh_dlc06_quest_passive_inquisitor_of_sigmar	Inquisitor of Sigmar	true
unit_abilities_onscreen_name_wh2_dlc09_unit_passive_spirit_conduit	Spirit Conduit	true
unit_abilities_tooltip_text_wh2_dlc11_army_abilities_shanty_verse_1_ai	"Anchor the tides and slow the moons, becalm the waters for some hidden boons. Break the waves, tame the sea; how big can one beast be?"	true
unit_abilities_tooltip_text_wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded	Sword-blows are mysteriously turned away as Ptra's wife reaches out to shield Nehekhara's warriors from evil.	true
unit_abilities_onscreen_name_wh2_dlc13_lord_passive_to_the_death	To the Death	true
unit_abilities_onscreen_name_wh2_dlc09_character_abilities_stay_here_ill_get_help	"Stay Here, I'll Get Help!"	true
unit_abilities_tooltip_text_wh2_dlc09_item_abilities_staff_of_nagash	This magical staff was plucked from the clutches of the Vampire Mandregan; it enables its bearer to channel the Winds of Magic to his whim.	true
unit_abilities_onscreen_name_wh2_dlc17_lord_passive_distorted_reality	Distorted Reality	true
unit_abilities_onscreen_name_wh2_dlc12_lord_abilities_unlimited_power	Unlimited Power!	true
unit_abilities_onscreen_name_wh2_dlc10_unit_passive_unbreakable_hidden	Hidden Unbreakable	true
unit_abilities_tooltip_text_wh2_dlc09_lord_passive_my_will_be_done	Death is no obstacle to those with unalterable, unassailable determination.	true
unit_abilities_tooltip_text_wh2_dlc11_weapon_passive_krakens_bane	Having deprived the biggest and the worst of its life, this blade hungers for other monstrous opponents worthy of its bite.	true
unit_abilities_tooltip_text_wh_dlc04_unit_passive_the_reliquary_binding	This depraved artefact, when held aloft, restores energy to those who swear fealty to its vileness.	true
unit_abilities_tooltip_text_wh_dlc07_hero_passive_precise_control	If you are in his sight you are marked for death from that moment on; your remaining breaths are a mere formality.	true
unit_abilities_onscreen_name_wh2_main_mount_bound_pestilent_breath	Pestilent Breath	true
unit_abilities_tooltip_text_wh_dlc08_spell_shadow_the_penumbral_pendulum_kihar	A spectral pendulum is summoned by the Wizard. On command, it swings, razor sharp and with lethal speed, through the foe.	true
unit_abilities_tooltip_text_wh2_dlc11_spell_deep_fog_of_the_damned_upgraded	"They'll never know how many we are in this fog… Attack!"	true
unit_abilities_onscreen_name_wh_dlc06_spell_bound_vindictive_glare	Vindictive Glare	true
unit_abilities_tooltip_text_wh2_dlc17_army_abilities_touched_by_the_moon	Morrslieb's whispers can drive Beastmen into a terrifying frenzy, the power of which few can survive.	true
unit_abilities_tooltip_text_wh_dlc03_spell_wild_traitor_kin_upgraded	The Bray-Shaman drives a spear of wrath into enemy hearts, unlocking the beast within and causing them to turn against their own.	true
unit_abilities_onscreen_name_wh2_dlc15_unit_passive_rubble_and_ruin_tier_1_bombardment	Rubble & Ruin I	true
unit_abilities_onscreen_name_wh2_main_spell_dark_magic_chillwind_upgraded	Chillwind Upgraded	true
unit_abilities_tooltip_text_wh2_dlc17_army_abilities_ghorgon_summon_qb_scripted	This is never directly seen or controlled by the player.	true
unit_abilities_tooltip_text_wh2_main_spell_plague_bless_with_filth	A foul mist wraps around the weapons of an allied pack, their blades dripping with noxious filth.	true
unit_abilities_onscreen_name_wh_main_character_abilities_heroic_killing_blow	Heroic Killing Blow	true
unit_abilities_tooltip_text_wh2_dlc14_unit_abilities_warp_quake	Warp-energy channelled directly into the ground causes the earth to tremble at a frequency that causes brains to rattle within skulls and bones to splinter!	true
unit_abilities_tooltip_text_wh2_dlc13_army_abilities_beasts_of_itzl	The great god Itzl is the three-horned ruler of all coldbloods; only those blessed in His sight may achieve mastery over his mighty, horned servants.	true
unit_abilities_tooltip_text_wh2_main_unit_passive_attuned_to_magic	Some creatures, such as the Phoenix, are infused with magic and use the arcane Winds to fly upon and immerse themselves in.	true
unit_abilities_tooltip_text_wh_main_spell_metal_glittering_robe	The Alchemist conjures a gaudy cloak of shimmering scale to improve his allies’ defensive stance.	true
unit_abilities_tooltip_text_wh2_dlc14_unit_passive_unbinding_stormvermin_1	Summoned creatures exist in this world on borrowed time, disappearing back to the Winds from whence they came.	true
unit_abilities_onscreen_name_wh2_main_item_abilities_blade_of_bel_korhadris	Blade of Bel-Korhadris	true
unit_abilities_tooltip_text_wh2_main_spell_bound_the_seerstaff_of_saphery	The spirits of ancient warriors are summoned and lend their might to allies in the present.	true
unit_abilities_onscreen_name_wh2_dlc11_spell_deep_fog_of_the_damned	Fog of the Damned	true
unit_abilities_onscreen_name_wh2_main_army_abilities_brazen_cauldron	Brazen Cauldron	true
unit_abilities_onscreen_name_wh2_dlc15_lord_abilities_fermented_fungi	Fermented Fungi	true
unit_abilities_tooltip_text_wh2_main_character_abilities_concealment_bombs	When a bomb is smashed, a dark smoke curls out, concealing those who wish to hide and choking everyone else.	true
unit_abilities_tooltip_text_wh2_main_army_abilities_carnosaur_qb_scripted	ph	true
unit_abilities_tooltip_text_wh2_dlc13_weapon_abilities_nordland_runefang	One of twelve magical swords belonging to the Empire's Elector Counts, 'Crow Feeder' leaves its prey - often the marauding Norscans - as nothing but so much carrion.	true
unit_abilities_tooltip_text_wh_dlc05_unit_abilities_storm_of_blades	What beauty and violence there is in the dance? A flurry of blades and a certain savagery of intent...	true
unit_abilities_tooltip_text_wh2_dlc16_spell_bound_regrowth	By speaking Druthandor's name the Wizard is able to heal allies' injuries much faster than by natural means.	true
unit_abilities_tooltip_text_wh2_dlc13_character_abilities_patch_up	As a battlefield surgeon of great repute, Hertwig is able to swiftly dress the wounds of targeted friendly units, restoring their health.	true
unit_abilities_onscreen_name_wh_main_spell_death_aspect_of_the_dreadknight	Aspect of the Dread Knight	true
unit_abilities_tooltip_text_wh2_dlc09_character_abilities_curse_of_djaf	The essence of the Jackal-headed God imbues the bearer's weapons with an insatiable hunger for the souls of the living.	true
unit_abilities_tooltip_text_wh2_dlc15_unit_abilities_mimic_waaagh	Bellowing a war cry into the air, the mighty Waaagh! is unleashed – da ladz echo the terrifying roar in a crescendo of murderous hysteria!\\n\\n[[col:magic]]This ability is being mirrored using knowledge gained from a prisoner interrogation in Athel Tamarha.[[/col]]	true
unit_abilities_tooltip_text_wh_dlc03_hero_passive_the_unrelenting_warherd_iii	The herd charges out, slathering jaws and bellowing in fury. Against the charge, none can stand.	true
unit_abilities_onscreen_name_wh_dlc04_spell_bound_banishment	Banishment	true
unit_abilities_tooltip_text_wh2_main_army_abilities_mors_clanstone	On the battlefield, Clan Mors' sacred Warpstones instil their upstart warriors with even greater stamina and skill.	true
unit_abilities_tooltip_text_wh2_dlc15_unit_abilities_mimic_loecs_shroud	Shadows be thy cloak and darkness thy ally.\\n\\n[[col:magic]]This ability is being mirrored using knowledge gained from a prisoner interrogation in Athel Tamarha.[[/col]]	true
unit_abilities_onscreen_name_wh2_dlc10_item_bound_assault_of_stone	Assault of Stone	true
unit_abilities_onscreen_name_wh_dlc05_spell_shadow_the_withering	The Withering	true
unit_abilities_tooltip_text_wh_dlc06_weapon_passive_bonewood_staff	Covered in magical glyphs, this staff protects Wurrzag from the many magical machinations ranged against him.	true
unit_abilities_onscreen_name_wh2_dlc17_rune_abilities_master_rune_of_breaking	Master Rune of Breaking	true
unit_abilities_onscreen_name_wh2_dlc16_lord_passive_fanatical_resolve_3	Fanatical Resolve III	true
unit_abilities_onscreen_name_wh2_main_army_abilities_eshin_clanstone	Eshin Clanstone	true
unit_abilities_tooltip_text_wh_main_unit_abilities_killing_blow	Such champions are adept at delivering a Killing Blow, depriving the foe of life with a single, powerful attack.	true
unit_abilities_tooltip_text_wh_main_spell_light_light_of_battle_upgraded	Reaching into the Wind of Hysh, the Wizard draws forth ennobling energies to steady faint hearts - augmenting allies with courage.	true
unit_abilities_tooltip_text_wh2_dlc10_item_passive_amulet_of_dark_fire	This amulet wreathes its wearer in a mystical flame that burns magic instead of flesh.	true
unit_abilities_tooltip_text_wh_main_character_passive_evasion	Those with such skills can evade enemy attacks with ease and break from combat, should they feel that it is tactically important to do so.	true
unit_abilities_tooltip_text_wh2_dlc13_character_ability_shatter	He hits the ground with such force that anyone nearby is shaken to their very core!	true
unit_abilities_onscreen_name_wh_dlc03_hero_passive_the_unrelenting_warherd_i	The Unrelenting Warherd I	true
unit_abilities_onscreen_name_wh2_dlc15_character_abilities_they_needs_stabbin	They Needs Stabbin’	true
unit_abilities_onscreen_name_wh2_dlc15_unit_passive_rubble_and_ruin_tier_2_bombardment	Rubble & Ruin II	true
unit_abilities_tooltip_text_wh2_dlc11_hero_abilities_more_powder	"Where's that powder monkey? Get him up 'ere now!"	true
unit_abilities_tooltip_text_wh2_dlc12_army_abilities_warpstorm_doomrocket_upgraded	This dread projectile causes an enormous explosion on impact, sending entire units - and no doubt their limbs - flying off in all directions.	true
unit_abilities_tooltip_text_wh2_dlc16_unit_passive_warp_discharge	One too many Warp-fuel infusions have made the Hellion a volatile mutant indeed, allowing it to spontaneously discharge destructive magical vortices at will.	true
unit_abilities_tooltip_text_wh2_main_spell_bound_rubric_of_dark_dimensions	The spellcaster opens a vortex leading into the Pit. Anything caught within it will be lost forever.	true
unit_abilities_tooltip_text_wh2_dlc10_quest_abilities_unidentified_hydra_head	"Cross your fingers, or whatever you have instead – I’m not entirely sure what this one will do!"	true
unit_abilities_onscreen_name_wh2_dlc13_character_abilities_big_boom	Big Boom	true
unit_abilities_tooltip_text_wh2_dlc17_hero_passive_something_wicked_this_way_comes_upgraded	The presence of the Dark Omen is an awful thing that saps the foe's will to fight on.	true
unit_abilities_onscreen_name_wh_main_weapon_passive_sword_of_unholy_power	Sword of Unholy Power	true
unit_abilities_onscreen_name_wh2_dlc09_faction_passive_realm_of_souls_tier_1	Realm of Souls Tier 1	true
unit_abilities_onscreen_name_wh_dlc03_unit_abilities_slaughterers_call	Slaughterer's Call	true
unit_abilities_onscreen_name_wh_dlc08_spell_metal_gehennas_golden_hounds_arzik	Gehenna's Golden Hounds	true
unit_abilities_onscreen_name_wh_dlc03_unit_passive_unbinding_chaos_spawn	Unbinding	true
unit_abilities_onscreen_name_wh2_dlc15_spell_bound_chain_lightning	Chain Lightning	true
unit_abilities_onscreen_name_wh_dlc04_spell_bound_soulfire_upgraded	Grand Soulfire	true
unit_abilities_tooltip_text_wh2_dlc13_unit_abilities_blinding_radiance	Their lances gleam with such luminosity that the foe cannot see to adequately defend themselves against the Templars' devastating charge.	true
unit_abilities_tooltip_text_wh2_pro08_weapon_abilities_karaghul	Felix Jaeger recovered the Rune Sword Karaghul, a blade with a dragon hilt, from a fallen Knight of the Fiery Heart deep within Karak Eight Peaks.	true
unit_abilities_tooltip_text_wh2_dlc10_item_passive_the_shadow_crown	Symbol of the true ruler of Nagarythe, the Shadow Crown is a simple silver circlet set with a single diamond.	true
unit_abilities_onscreen_name_wh2_dlc17_rune_abilities_rune_of_breaking	Rune of Breaking	true
unit_abilities_tooltip_text_wh_dlc03_item_passive_blackened_plate	This battered suit of ramshackle plate mail is covered with the soot from man's burned palaces and temples. 	true
unit_abilities_onscreen_name_wh2_dlc09_army_abilities_realm_of_souls_ushabti	Realm of Souls Ushabti	true
unit_abilities_tooltip_text_wh_dlc07_lord_passive_mist_of_the_lady	The unearthly vapour moves around the foe, in between and inside – those found wanting are scarred by the Lady’s enchanted touch.	true
unit_abilities_onscreen_name_wh_main_character_abilities_arcane_conduit	Arcane Conduit	true
unit_abilities_tooltip_text_wh2_dlc15_army_abilities_waaagh	Bellowing a war cry into the air, the mighty Waaagh! is unleashed – da boyz echo the terrifying roar in a crescendo of murderous hysteria!	true
unit_abilities_tooltip_text_wh_dlc03_lore_passive_wild_heart	Amber is the colour of beasts. Such magic can ensnare and entrap animals much more easily than so-called "intelligent" species.	true
unit_abilities_onscreen_name_wh_dlc07_character_abilities_heroic_killing_blow	Heroic Killing Blow	true
unit_abilities_onscreen_name_wh2_dlc15_army_abilities_wurrzags_big_waaagh	Wurrzag's Big Waaagh!	true
unit_abilities_onscreen_name_wh2_main_lord_abilities_potion_of_charoi	Potion of Charoi	true
unit_abilities_onscreen_name_wh2_main_unit_abilities_star_dragons_breath	Star Dragon's Breath	true
unit_abilities_onscreen_name_wh_dlc03_spell_wild_savage_dominion	Savage Dominion	true
