key	superseded_abilities_set	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	is_hidden_in_ui_for_enemy
wh2_dlc09_character_abilities_strike_of_tombs		true	wh2_dlc09_character_abilities_strike_of_tombs		wh_type_augment		wh_main_anc_group_uncommon	true	false	character	false
wh2_dlc09_character_abilities_tomb_king_rally		true	wh2_dlc09_character_abilities_tomb_king_rally		wh_type_area_of_augments		wh_main_anc_group_common	true	false	character	false
wh2_dlc09_character_abilities_tomb_king_rally_upgraded		true	wh2_dlc09_character_abilities_tomb_king_rally_upgraded		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	character	false
wh2_dlc09_character_passive_befalling_curse		true	wh2_dlc09_character_passive_befalling_curse		wh_type_area_of_direct_damage		wh_main_anc_group_uncommon	true	false	character	false
wh2_dlc09_character_passive_blessing_of_asaph		true	wh2_dlc09_character_passive_blessing_of_asaph		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	character	false
wh2_dlc09_character_passive_stone_shaper		true	wh2_dlc09_character_passive_stone_shaper		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	character	false
wh2_dlc09_character_passive_tretchs_raiders		true	wh2_dlc09_character_passive_tretchs_raiders		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	character	false
wh2_dlc09_character_passive_true_blessing_of_asaph		false	wh2_dlc09_character_passive_true_blessing_of_asaph		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	character	false
wh2_dlc09_character_passive_unyielding_will		true	wh2_dlc09_character_passive_unyielding_will		wh_type_area_of_augments		wh_main_anc_group_unique	true	false	character	false
wh2_dlc09_character_passive_wrath_of_the_creator		true	wh2_dlc09_character_passive_wrath_of_the_creator		wh_type_area_of_augments		wh_main_anc_group_common	true	false	character	false
wh2_dlc09_faction_passive_realm_of_souls_tier_1		false	wh2_dlc09_faction_passive_realm_of_souls_tier_1		wh_type_regeneration		wh_main_anc_group_common	true	false	faction	false
wh2_dlc09_faction_passive_realm_of_souls_tier_2		false	wh2_dlc09_faction_passive_realm_of_souls_tier_2		wh_type_regeneration		wh_main_anc_group_uncommon	true	false	faction	false
wh2_dlc09_faction_passive_realm_of_souls_tier_3		false	wh2_dlc09_faction_passive_realm_of_souls_tier_3		wh_type_regeneration		wh_main_anc_group_rare	true	false	faction	false
wh2_dlc09_item_abilities_amulet_of_phastah		false	wh2_dlc09_item_abilities_amulet_of_phastah		wh_type_area_of_hexes		wh_main_anc_group_unique	true	false	item	false
wh2_dlc09_item_abilities_cloak_of_the_dunes		false	wh2_dlc09_item_abilities_cloak_of_the_dunes		wh_type_hiding		wh_main_anc_group_uncommon	true	false	item	false
wh2_dlc09_item_abilities_elixir_of_might		false	wh2_dlc09_item_abilities_elixir_of_might		wh_type_augment		wh_main_anc_group_common	true	false	item	false
wh2_dlc09_item_abilities_enkhils_kanopi		false	wh2_dlc09_item_abilities_enkhils_kanopi		wh_type_area_of_ward_save		wh_main_anc_group_rare	true	false	item	false
wh2_dlc09_item_abilities_hieratic_jar		false	wh2_dlc09_item_abilities_hieratic_jar		wh_type_regeneration		wh_main_anc_group_common	true	false	item	false
wh2_dlc09_item_abilities_neferras_scrolls_of_mighty_incantations		false	wh2_dlc09_item_abilities_neferras_scrolls_of_mighty_incantations		wh_type_area_of_augments_of_the_winds		wh_main_anc_group_uncommon	true	false	item	false
wh2_dlc09_item_abilities_staff_of_nagash		false	wh2_dlc09_item_abilities_staff_of_nagash		wh_type_augment_of_the_winds		wh_main_anc_group_unique	true	false	character	false
wh2_dlc09_item_passive_crown_of_nehekhara		false	wh2_dlc09_item_passive_crown_of_nehekhara		wh_type_area_of_augments		wh_main_anc_group_unique	true	false	item	false
wh2_dlc09_item_passive_lucky_skullhelm		false	wh_magic_item_passive_armour		wh_type_augment		wh_main_anc_group_unique	true	false	item	false
wh2_dlc09_item_passive_scorpion_armour		false	wh_magic_item_passive_armour		wh_type_ward_save		wh_main_anc_group_unique	true	false	item	false
wh2_dlc09_item_passive_vambraces_of_the_sun		false	wh_magic_item_passive_armour		wh_type_area_of_hexes		wh_main_anc_group_unique	true	false	item	false
wh2_dlc09_lord_abilities_sand_storm		false	wh2_dlc09_lord_abilities_sand_storm		wh_type_vortex		wh_main_anc_group_uncommon	true	false	lord	false
wh2_dlc09_lord_abilities_the_liber_mortis		false	wh2_dlc09_lord_abilities_the_liber_mortis		wh_type_area_of_ward_save		wh_main_anc_group_uncommon	true	false	lord	false
wh2_dlc09_lord_abilities_venom_wave		false	wh2_dlc09_lord_abilities_venom_wave		wh_type_explosion		wh_main_anc_group_uncommon	true	false	lord	false
wh2_dlc09_lord_abilities_wrath_of_ptra		false	wh2_dlc09_lord_abilities_wrath_of_ptra		wh_type_explosion		wh_main_anc_group_uncommon	true	false	lord	false
wh2_dlc09_lord_passive_my_will_be_done		false	wh2_dlc09_lord_passive_my_will_be_done		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	lord	false
wh2_dlc09_lord_passive_the_curse		true	wh2_dlc09_lord_passive_the_curse		wh_type_area_of_direct_damage		wh_main_anc_group_common	true	false	lord	false
wh2_dlc09_lore_passive_the_restless_dead		true	wh2_dlc09_lore_passive_the_restless_dead		wh_type_area_of_regeneration		wh_main_anc_group_common	true	false	lore	false
wh2_dlc09_quest_passive_full_hide		false	wh_main_unit_passive_unstable		wh_type_hiding		wh_main_anc_group_common	false	false	unit	false
wh2_dlc09_spell_death_spirit_leech_bound		false	wh_main_spell_death_spirit_leech		wh_type_direct_damage		wh_main_anc_group_common	false	false	bound	false
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades		true	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	wh_main_anc_group_common	true	false	spell	false
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded		true	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades		wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	wh_main_anc_group_common	true	false	spell	false
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection		true	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded	wh_type_ward_save	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	wh_main_anc_group_common	true	false	spell	false
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded		true	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection		wh_type_ward_save	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	wh_main_anc_group_common	true	false	spell	false
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting		true	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	wh_main_anc_group_uncommon	true	false	spell	false
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded		true	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting		wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	wh_main_anc_group_uncommon	true	false	spell	false
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm		true	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded	wh_type_vortex	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	wh_main_anc_group_rare	true	false	spell	false
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded		true	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm		wh_type_vortex	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	wh_main_anc_group_rare	true	false	spell	false
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation		true	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded	wh_type_area_of_hexes	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usekphs_incantation_of_desiccation	wh_main_anc_group_rare	true	false	spell	false
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded		true	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation		wh_type_area_of_hexes	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usekphs_incantation_of_desiccation	wh_main_anc_group_rare	true	false	spell	false
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance		true	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded	wh_type_direct_damage	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_uncommon	true	false	spell	false
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded		true	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance		wh_type_direct_damage	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_uncommon	true	false	spell	false
wh2_dlc09_unit_abilities_death_from_above		false	wh2_dlc09_unit_abilities_death_from_above		wh_type_bombardment		wh_main_anc_group_common	true	false	unit	false
wh2_dlc09_unit_passive_covenant_of_power		false	wh2_dlc09_unit_passive_covenant_of_power		wh_type_augment_of_the_winds		wh_main_anc_group_common	false	false	unit	false
wh2_dlc09_unit_passive_guardian		false	wh2_dlc09_unit_passive_guardian		wh_type_area_of_ward_save		wh_main_anc_group_uncommon	true	false	unit	false
wh2_dlc09_unit_passive_spirit_conduit		false	wh2_dlc09_unit_passive_spirit_conduit		wh_type_augment_of_the_winds		wh_main_anc_group_common	false	false	unit	false
wh2_dlc09_unit_passive_unbinding_skeleton_warriors		false	unbinding		wh_type_direct_damage		wh_main_anc_group_common	false	false	unit	false
wh2_dlc09_unit_passive_unbinding_ushabti		false	unbinding		wh_type_direct_damage		wh_main_anc_group_common	false	false	unit	false
wh2_dlc09_unit_passive_unstable_mark_ii_sand		false	wh_main_unit_passive_unstable_mark_ii		wh_type_direct_damage		wh_main_anc_group_common	false	false	unit	false
wh2_dlc09_unit_passive_unstable_sand		false	wh_main_unit_passive_unstable		wh_type_direct_damage		wh_main_anc_group_common	false	false	unit	false
wh2_dlc09_weapon_abilities_blade_of_setep		false	wh2_dlc09_weapon_abilities_blade_of_setep		wh_type_hex		wh_main_anc_group_uncommon	true	false	weapon	false
wh2_dlc09_weapon_abilities_blessed_blade_of_ptra		false	wh2_dlc09_weapon_abilities_blessed_blade_of_ptra		wh_type_augment		wh_main_anc_group_unique	true	false	weapon	false
wh2_dlc09_weapon_abilities_tomb_blade_of_arkhan		false	wh2_dlc09_weapon_abilities_tomb_blade_of_arkhan		wh_type_augment		wh_main_anc_group_unique	true	false	weapon	false
wh2_dlc09_weapon_abilities_venom_staff		false	wh2_dlc09_weapon_abilities_venom_staff		wh_type_magic_missiles		wh_main_anc_group_unique	true	false	weapon	false
wh2_dlc09_weapon_passive_the_liche_staff		false	wh_magic_item_passive_weapon		wh_type_area_of_hexes		wh_main_anc_group_unique	true	false	weapon	false
wh2_dlc10_character_abilities_entangle		true	wh2_dlc10_character_abilities_entangle		wh_type_area_of_hexes		wh_main_anc_group_rare	true	false	character	false
wh2_dlc10_hero_passive_quicksilver_shot		true	wh2_dlc10_hero_passive_quicksilver_shot		wh_type_area_of_augments		wh_main_anc_group_common	true	false	hero	false
wh2_dlc10_item_abilities_fear_of_aramar		false	wh2_dlc10_item_abilities_fear_of_aramar		wh_type_hex		wh_main_anc_group_uncommon	true	false	item	false
wh2_dlc10_item_abilities_horn_of_the_ancestors		true	wh2_dlc10_item_abilities_horn_of_the_ancestors		wh_type_augment		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_item_abilities_sceptre_of_stone		true	wh2_dlc10_item_abilities_sceptre_of_stone		wh_type_bombardment		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_item_abilities_speed_of_lykos		false	wh2_dlc10_item_abilities_speed_of_lykos		wh_type_hiding		wh_main_anc_group_common	true	false	item	false
wh2_dlc10_item_abilities_star_of_avelorn		false	wh2_dlc10_item_abilities_star_of_avelorn		wh_type_area_of_regeneration		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_item_abilities_stave_of_avelorn		false	wh2_dlc10_item_abilities_stave_of_avelorn		wh_type_augment		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_item_abilities_the_amber_trance		false	wh2_dlc10_item_abilities_the_amber_trance		wh_type_area_of_hexes		wh_main_anc_group_common	true	false	item	false
wh2_dlc10_item_bound_arnizipals_black_horror		false	wh2_dlc10_item_bound_arnizipals_black_horror		wh_type_wind		wh_main_anc_group_rare	true	false	bound	false
wh2_dlc10_item_bound_assault_of_stone		false	wh2_dlc10_item_bound_assault_of_stone		wh_type_bombardment		wh_main_anc_group_uncommon	true	false	bound	false
wh2_dlc10_item_bound_blast		false	wh2_dlc10_item_bound_blast		wh_type_magic_missile		wh_main_anc_group_common	true	false	bound	false
wh2_dlc10_item_passive_amulet_of_dark_fire		false	wh_magic_item_passive_talisman		wh_type_area_of_ward_save		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_item_passive_banner_of_avelorn		false	wh2_dlc10_item_passive_banner_of_avelorn		wh_type_area_of_augments_of_the_winds		wh_main_anc_group_uncommon	true	false	item	false
wh2_dlc10_item_passive_dragon_slayers_fang		true	wh_magic_item_passive_talisman		wh_type_augment		wh_main_anc_group_rare	true	false	item	false
wh2_dlc10_item_passive_gate_keepers_belt		true	wh_magic_item_passive_enchanted		wh_type_ward_save		wh_main_anc_group_rare	true	false	item	false
wh2_dlc10_item_passive_gate_keepers_helm		true	wh_magic_item_passive_armour		wh_type_area_of_ward_save		wh_main_anc_group_rare	true	false	item	false
wh2_dlc10_item_passive_ironbeards_bracers		true	wh_magic_item_passive_enchanted		wh_type_ward_save		wh_main_anc_group_uncommon	true	false	item	false
wh2_dlc10_item_passive_ironbeards_ring		true	wh_magic_item_passive_talisman		wh_type_area_of_ward_save_hex		wh_main_anc_group_common	true	false	item	false
wh2_dlc10_item_passive_ironwardens_shield		true	wh_magic_item_passive_armour		wh_type_ward_save		wh_main_anc_group_uncommon	true	false	item	false
wh2_dlc10_item_passive_old_guards_tankard		true	wh_magic_item_passive_talisman		wh_type_regeneration		wh_main_anc_group_uncommon	true	false	item	false
wh2_dlc10_item_passive_prospectors_spyglass		true	wh_magic_item_passive_enchanted		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	item	false
wh2_dlc10_item_passive_ring_of_grimnir		true	wh_magic_item_passive_talisman		wh_type_area_of_augments		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_item_passive_shieldstone_of_isha		false	wh_magic_item_passive_talisman		wh_type_area_of_ward_save		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_item_passive_starmetal_plate		true	wh_magic_item_passive_armour		wh_type_area_of_hexes		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_item_passive_stone_of_midnight		false	wh_magic_item_passive_talisman		wh_type_area_of_ward_save		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_item_passive_the_shadow_crown		false	wh_magic_item_passive_enchanted		wh_type_area_of_augments		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_lord_abilities_deadly_mislead		true	wh2_dlc10_lord_abilities_mislead		wh_type_hiding		wh_main_anc_group_uncommon	true	false	lord	false
wh2_dlc10_lord_abilities_gaze_of_khaine		false	wh2_dlc10_lord_abilities_gaze_of_khaine		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	lord	false
wh2_dlc10_lord_abilities_mislead		true	wh2_dlc10_lord_abilities_mislead		wh_type_hiding		wh_main_anc_group_uncommon	true	false	lord	false
wh2_dlc10_lord_abilities_oath_of_vengeance		false	wh2_dlc10_lord_abilities_oath_of_vengeance		wh_type_hex		wh_main_anc_group_common	true	false	lord	false
wh2_dlc10_lord_abilities_red_ruin		false	wh2_dlc10_lord_abilities_red_ruin		wh_type_augment		wh_main_anc_group_uncommon	true	false	lord	false
wh2_dlc10_lord_passive_blood_frenzy		true	wh2_dlc10_lord_passive_blood_frenzy		wh_type_augment		wh_main_anc_group_uncommon	true	false	lord	false
wh2_dlc10_lord_passive_boon_of_isha		false	wh2_dlc10_lord_passive_boon_of_isha		wh_type_area_of_augments		wh_main_anc_group_unique	true	false	lord	false
wh2_dlc10_quest_abilities_fiery_head		false	wh2_dlc10_quest_abilities_fiery_head		wh_type_vortex		wh_main_anc_group_unique	true	false	quest	false
wh2_dlc10_quest_abilities_flame_storm		false	wh_main_spell_fire_flame_storm		wh_type_vortex	spell_previews/fire/wh_main_spell_fire_flame_storm	wh_main_anc_group_rare	true	false	bound	false
wh2_dlc10_quest_abilities_insane_head		false	wh2_dlc10_quest_abilities_insane_head		wh_type_area_of_hexes		wh_main_anc_group_unique	true	false	quest	false
wh2_dlc10_quest_abilities_magic_fiery_convocation		false	wh2_main_spell_high_magic_fiery_convocation		wh_type_wind	spell_previews/high/wh2_main_spell_high_magic_fiery_convocation	wh_main_anc_group_rare	true	false	bound	false
wh2_dlc10_quest_abilities_regenerating_head		false	wh2_dlc10_quest_abilities_regenerating_head		wh_type_area_of_regeneration		wh_main_anc_group_unique	true	false	quest	false
wh2_dlc10_quest_abilities_unidentified_hydra_head		false	wh2_dlc10_quest_abilities_unidentified_hydra_head		wh_type_vortex		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_quest_abilities_warp_hunger		false	wh2_dlc10_quest_warp_hunger		wh_type_augment		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_quest_passive_mother_of_flame		false	wh2_dlc10_quest_passive_mother_of_flame		wh_type_area_of_augments		wh_main_anc_group_unique	true	false	quest	false
wh2_dlc10_quest_passive_primal_rage		false	wh2_dlc10_quest_passive_primal_rage		wh_type_augment		wh_main_anc_group_unique	true	false	item	false
wh2_dlc10_quest_passive_the_primal_rampage		false	wh2_dlc10_quest_passive_the_invincible_rampage		wh_type_augment		wh_main_anc_group_unique	true	false	quest	false
wh2_dlc10_quest_passive_the_primal_rampage_hidden		false	wh2_dlc10_quest_passive_the_invincible_rampage		wh_type_augment		wh_main_anc_group_unique	true	true	quest	false
wh2_dlc10_quest_passive_the_rats_overwhelm		false	wh2_main_unit_passive_the_rats_emerge		wh_type_augment		wh_main_anc_group_unique	true	false	quest	false
wh2_dlc10_spell_bound_lesser_doombolt		false	wh2_main_spell_dark_magic_doombolt		wh_type_bombardment		wh_main_anc_group_uncommon	false	false	bound	false
wh2_dlc10_spell_bound_magic_fiery_convocation		false	wh2_main_spell_high_magic_fiery_convocation		wh_type_wind	spell_previews/high/wh2_main_spell_high_magic_fiery_convocation	wh_main_anc_group_rare	true	false	bound	false
wh2_dlc10_spell_bound_soul_stealer		false	wh2_main_spell_dark_magic_soul_stealer		wh_type_area_of_direct_damage	spell_previews/dark/wh2_main_spell_dark_magic_soul_stealer	wh_main_anc_group_rare	false	false	bound	false
wh2_dlc10_spell_bound_soulblight		false	wh_main_spell_death_soulblight		wh_type_area_of_hexes		wh_main_anc_group_uncommon	false	false	bound	false
wh2_dlc10_spell_bound_word_of_pain		false	wh2_main_spell_dark_magic_word_of_pain		wh_type_hex	spell_previews/dark/wh2_main_spell_dark_magic_word_of_pain	wh_main_anc_group_uncommon	false	false	bound	false
wh2_dlc10_unit_abilities_frost_breath		false	wh2_dlc10_unit_abilities_frost_breath		wh_type_magic_missiles		wh_main_anc_group_uncommon	false	false	unit	false
wh2_dlc10_unit_abilities_frost_wyrm_breath		false	wh2_dlc10_unit_abilities_frost_wyrm_breath		wh_type_magic_missiles		wh_main_anc_group_uncommon	false	false	unit	false
wh2_dlc10_unit_passive_abyssal_howl		false	wh2_dlc10_unit_passive_abyssal_howl		wh_type_area_of_hexes		wh_main_anc_group_uncommon	false	false	unit	false
wh2_dlc10_unit_passive_guardian		false	wh2_dlc09_unit_passive_guardian		wh_type_area_of_ward_save		wh_main_anc_group_uncommon	true	false	unit	false
wh2_dlc10_unit_passive_the_trial_of_blades		false	wh2_dlc10_unit_passive_the_trial_of_blades		wh_type_augment		wh_main_anc_group_common	false	false	unit	false
wh2_dlc10_unit_passive_unbinding_alith_anar		false	unbinding		wh_type_direct_damage		wh_main_anc_group_common	false	false	unit	false
wh2_dlc10_unit_passive_unbreakable_hidden		false	wh_magic_item_passive_weapon		wh_type_augment		wh_main_anc_group_common	false	true	unit	false
wh2_dlc10_weapon_abilities_sword_of_khaine		true	wh2_dlc10_weapon_abilities_sword_of_khaine		wh_type_vortex		wh_main_anc_group_unique	true	false	weapon	false
wh2_dlc10_weapon_abilities_the_moonbow		false	wh2_dlc10_weapon_abilities_the_moonbow		wh_type_magic_missile		wh_main_anc_group_unique	true	false	weapon	false
wh2_dlc10_weapon_passive_dragon_slayers_axe		true	wh_magic_item_passive_weapon		wh_type_augment		wh_main_anc_group_rare	true	false	weapon	false
wh2_dlc10_weapon_passive_ironwardens_hammer		true	wh_magic_item_passive_weapon		wh_type_augment		wh_main_anc_group_rare	true	false	weapon	false
wh2_dlc10_weapon_passive_shadow_of_khaine		false	wh_magic_item_passive_weapon		wh_type_augment		wh_main_anc_group_unique	true	true	weapon	false
wh2_dlc10_weapon_passive_the_cursed_blade		false	wh_magic_item_passive_weapon		wh_type_area_of_direct_damage		wh_main_anc_group_unique	true	false	weapon	false
wh2_dlc11_army_abilities_norse_roar		false	wh2_dlc11_army_abilities_norse_roar		wh_type_wind		wh_main_anc_group_uncommon	true	false	army	false
wh2_dlc11_army_abilities_rod_of_the_storm		false	wh2_main_spell_bound_rod_of_the_storm		wh_type_bombardment		wh_main_anc_group_rare	true	false	army	false
wh2_dlc11_army_abilities_sartosa_grapeshot		false	wh2_dlc11_army_abilities_sartosa_grapeshot		wh_type_wind		wh_main_anc_group_uncommon	true	false	army	false
wh2_dlc11_army_abilities_shanty_verse_1		true	wh2_dlc11_army_abilities_shanty_verse_1		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	army	false
wh2_dlc11_army_abilities_shanty_verse_1_ai		true	wh2_dlc11_army_abilities_shanty_verse_1		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	army	false
wh2_dlc11_army_abilities_shanty_verse_2		true	wh2_dlc11_army_abilities_shanty_verse_1		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	army	false
wh2_dlc11_army_abilities_shanty_verse_2_ai		true	wh2_dlc11_army_abilities_shanty_verse_1		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	army	false
wh2_dlc11_army_abilities_shanty_verse_3		true	wh2_dlc11_army_abilities_shanty_verse_1		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	army	false
wh2_dlc11_army_abilities_shanty_verse_3_ai		true	wh2_dlc11_army_abilities_shanty_verse_1		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	army	false
wh2_dlc11_army_abilities_wraith_storm		false	wh2_dlc11_army_abilities_wraith_storm		wh_type_bombardment		wh_main_anc_group_uncommon	false	false	army	false
wh2_dlc11_army_abilities_zhufbar_42_pounders		false	wh2_dlc11_army_abilities_zhufbar_42_pounders		wh_type_wind		wh_main_anc_group_uncommon	true	false	army	false
wh2_dlc11_character_abilities_all_hands_hoay		true	wh2_dlc11_character_abilities_all_hands_hoay		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	character	false
wh2_dlc11_character_abilities_avast_ye		true	wh2_dlc11_character_abilities_avast_ye		wh_type_area_of_augments		wh_main_anc_group_common	true	false	character	false
wh2_dlc11_character_abilities_ballistic_enchantment		true	wh2_dlc11_character_abilities_ballistic_enchantment		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	character	false
wh2_dlc11_character_abilities_beyond_the_realm		false	wh2_dlc11_character_abilities_beyond_the_realm		wh_type_augment		wh_main_anc_group_rare	true	false	character	false
wh2_dlc11_character_abilities_cackle_fruit		true	wh2_dlc11_character_abilities_cackle_fruit		wh_type_magic_missile		wh_main_anc_group_uncommon	true	false	character	false
wh2_dlc11_character_abilities_ghosts_of_the_past_0		true	wh2_dlc11_character_abilities_ghosts_of_the_past_0		wh_type_augment		wh_main_anc_group_rare	true	false	character	false
wh2_dlc11_character_abilities_ghosts_of_the_past_1		true	wh2_dlc11_character_abilities_ghosts_of_the_past_0		wh_type_augment		wh_main_anc_group_rare	true	false	character	false
wh2_dlc11_character_abilities_ghosts_of_the_past_2		true	wh2_dlc11_character_abilities_ghosts_of_the_past_0		wh_type_augment		wh_main_anc_group_rare	true	false	character	false
wh2_dlc11_character_abilities_hornswaggle		true	wh2_dlc11_character_abilities_hornswaggle		wh_type_hex		wh_main_anc_group_uncommon	true	false	character	false
wh2_dlc11_character_abilities_pyromaniac		true	wh2_dlc11_character_abilities_pyromaniac		wh_type_magic_missile		wh_main_anc_group_uncommon	true	false	character	false
